Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79945.73396,5.844724604,7.009188143,4.09,23144.8005,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79043.07453,6.826427052,6.730821019,3.09,40222.07217,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
62985.09663,6.454106484,8.51272743,5.13,36923.1594,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
65170.85214,7.421022146,5.586728665,3.26,34327.24283,1260616.807,"USS Barnett
FPO AP 44820"
58962.8461,5.223939232,7.839387785,4.23,26360.10947,630943.4893,"USNS Raymond
FPO AE 09386"
80168.21546,5.70702549,6.104512439,4.04,26759.42842,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64610.71986,6.810268543,8.147759585,3.41,60860.24909,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
79559.02792,7.709458718,6.620477995,2.42,36593.35897,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59900.08593,5.840976189,6.393120981,2.3,29444.396,798869.5328,"USS Gilbert
FPO AA 20957"
81745.86396,4.722180036,8.167688003,6.1,40245.96575,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
80236.82335,8.58374904,5.0427468,4.1,47299.35984,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50154.68288,4.658265449,7.467627404,4.49,34427.99189,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39276.36643,7.845431767,7.250029317,3.1,39293.36147,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
74990.62667,7.721038203,5.993187901,2.27,32362.12314,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69713.09065,5.747848608,8.406417715,4.37,35549.29403,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
74604.58185,5.838157774,8.517512711,4.01,24025.52405,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79427.96117,5.857457009,8.219771123,3.12,39729.81358,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61547.35955,5.402843096,5.097009554,4.3,24643.9015,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63621.41599,6.305191575,7.187773835,5.12,35749.65305,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
62907.97904,6.439780448,7.091808104,5.49,44963.1067,1030591.429,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
87501.3541,6.740895176,8.011897853,4.07,47659.77534,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60850.88552,5.853242937,6.517175038,2.1,45596.74166,929247.5995,"USNS Brown
FPO AP 85833"
64413.75872,4.798119455,5.478087731,4.31,40425.96011,718887.2315,"95198 Ortiz Key
Port Sara, TN 24541-2855"
60263.76382,6.4477202,7.150536572,6.34,28152.96709,743999.8192,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
60010.38716,5.934588786,7.748681606,4.23,27814.98654,895737.1334,"24282 Paul Valley
West Perry, MI 03169-5806"
57648.01485,9.108522573,7.312879971,4.33,40759.86951,1453974.506,"61938 Brady Falls
Lewisfort, DE 61227"
82078.25725,4.9935337,6.992698757,2.03,38883.91807,1125692.507,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
65949.176,5.870254963,6.988753539,4,27860.74228,975429.4928,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
89954.49668,6.853810128,4.242191302,3.04,34049.16499,1240763.766,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
60561.36446,7.111113534,8.273697078,4.07,37593.65773,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77827.55868,5.501266848,6.686686133,3.24,33771.7378,1246830.188,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
69561.39342,6.842957299,6.290820167,4.42,39391.62573,1170720.894,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55281.25175,7.233952106,8.591923294,5.36,30169.47348,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50397.53936,7.113901879,7.333554072,6.29,16857.78331,534305.1323,"039 Jordan Pike
Emilyville, ID 27442"
56321.38035,6.195385115,9.289854372,6,22402.23541,936368.9634,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74136.3304,6.245991064,6.593045604,2.07,39435.15118,1199193.831,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
79914.81439,5.530599121,7.780836693,4.1,27665.65655,1233220.009,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
77769.09861,6.095050344,6.756453856,3.01,22867.60757,1081150.125,"7585 Lynn Loop
East Judy, WV 73336"
52261.31533,5.40861998,5.426902859,2.39,33013.71196,524712.7661,"Unit 1388 Box 9350
DPO AP 70848"
18463.62304,5.233590681,6.713905445,2.5,47252.18364,302355.836,"9932 Eric Circles
Lake Martha, WY 34611-6127"
60315.85576,6.911282113,5.034525352,2.17,39749.46496,1026817.4,"7896 Walker Spring
Loriport, MH 72956"
76328.49155,8.455368558,7.555660721,6.3,32840.19534,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
48073.91616,7.158637226,7.60683155,4.43,27214.12861,882057.1706,"90634 Michelle Valleys
North Victoria, WV 99370"
69853.32188,7.145402894,7.634318731,4.44,43260.92849,1744932.211,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
